ID,SMILES,exp,InChi
313,c1ccc(c(c1)N(=O)=O)O,-1.74,"InChI=1/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H"
314,c1cc(ccc1C(=O)O)N(=O)=O,-1.68,"InChI=1/C7H5NO4/c9-7(10)5-1-3-6(4-2-5)8(11)12/h1-4H,(H,9,10)/f/h9H"
315,COc1ccccc1N(=O)=O,-1.96,"InChI=1/C7H7NO3/c1-11-7-5-3-2-4-6(7)8(9)10/h2-5H,1H3"
316,c1ccc(c(c1)N)N(=O)=O,-1.96,"InChI=1/C6H6N2O2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,7H2"
317,c1cc(ccc1N)N(=O)=O,-2.37,"InChI=1/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2"
318,c1cc(ccc1Cl)N,-1.66,"InChI=1/C6H6ClN/c7-5-1-3-6(8)4-2-5/h1-4H,8H2"
319,c1cc(cc(c1)N)Cl,-1.37,"InChI=1/C6H6ClN/c7-5-2-1-3-6(8)4-5/h1-4H,8H2"
320,CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,-4.55,"InChI=1/C7H12ClN5/c1-3-9-6-11-5(8)12-7(13-6)10-4-2/h3-4H2,1-2H3,(H2,9,10,11,12,13)"
321,CC(C)OC(=Nc1cccc(c1)Cl)O,-3.38,"InChI=1/C10H12ClNO2/c1-7(2)14-10(13)12-9-5-3-4-8(11)6-9/h3-7H,1-2H3,(H,12,13)"
322,CN(C(=O)Nc1ccc(cc1)Cl)OC,-2.57,"InChI=1/C9H11ClN2O2/c1-12(14-2)9(13)11-8-5-3-7(10)4-6-8/h3-6H,1-2H3,(H,11,13)"
323,CCC(=Nc1ccc(c(c1)Cl)Cl)O,-3,"InChI=1/C9H9Cl2NO/c1-2-9(13)12-6-3-4-7(10)8(11)5-6/h3-5H,2H2,1H3,(H,12,13)"
324,Cc1c(c(=O)n(c(n1)O)C(C)(C)C)Cl,-2.48,"InChI=1/C9H13ClN2O2/c1-5-6(10)7(13)12(8(14)11-5)9(2,3)4/h1-4H3,(H,11,14)"
325,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.68,"InChI=1/C13H16F3N3O4/c1-3-5-17(6-4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3"
326,CC(C)(C)C(=O)[C@@H](n1cncn1)Oc1ccc(cc1)Cl,-3.61,"InChI=1/C14H16ClN3O2/c1-14(2,3)12(19)13(18-9-16-8-17-18)20-11-6-4-10(15)5-7-11/h4-9,13H,1-3H3/t13-/m0/s1"
327,CCCCS,-2.18,"InChI=1/C4H10S/c1-2-3-4-5/h5H,2-4H2,1H3"
328,c1ccc(cc1)S,-2.12,"InChI=1/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H"
329,CCOc1nc(=NC(C)C)nc([nH]1)SC,-3.04,"InChI=1/C9H16N4OS/c1-5-14-8-11-7(10-6(2)3)12-9(13-8)15-4/h6H,5H2,1-4H3,(H,10,11,12,13)"
330,CCN=c1nc([nH]c(n1)SC)NC(C)(C)C,-4,"InChI=1/C10H19N5S/c1-6-11-7-12-8(15-10(2,3)4)14-9(13-7)16-5/h6H2,1-5H3,(H2,11,12,13,14,15)"
331,c1ccc2c(c1)C(=NS2(=O)=O)O,-1.64,"InChI=1/C7H5NO3S/c9-7-5-3-1-2-4-6(5)12(10,11)8-7/h1-4H,(H,8,9)"
332,Cc1ccccc1S(=O)(=O)N,-2.02,"InChI=1/C7H9NO2S/c1-6-4-2-3-5-7(6)11(8,9)10/h2-5H,1H3,(H2,8,9,10)"
333,CCOP(=S)(OCC)SCSCC,-4.11,"InChI=1/C7H17O2PS3/c1-4-8-10(11,9-5-2)13-7-12-6-3/h4-7H2,1-3H3"
334,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,-4.1,"InChI=1/C11H12NO4PS2/c1-15-17(18,16-2)19-7-12-10(13)8-5-3-4-6-9(8)11(12)14/h3-6H,7H2,1-2H3"
335,COP(=S)(OC)Oc1ccc(cc1)N(=O)=O,-3.68,"InChI=1/C8H10NO5PS/c1-12-15(16,13-2)14-8-5-3-7(4-6-8)9(10)11/h3-6H,1-2H3"
336,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,-4.31,"InChI=1/C8H9ClNO5PS/c1-13-16(17,14-2)15-8-4-3-6(10(11)12)5-7(8)9/h3-5H,1-2H3"
337,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54,"InChI=1/C9H22O4P2S4/c1-5-10-14(16,11-6-2)18-9-19-15(17,12-7-3)13-8-4/h5-9H2,1-4H3"
338,COP(=S)(OC)Oc1cc(c(cc1Cl)Cl)Cl,-5.72,"InChI=1/C8H8Cl3O3PS/c1-12-15(16,13-2)14-8-4-6(10)5(9)3-7(8)11/h3-4H,1-2H3"
339,CC(CCC(=O)O)C1CCC2C3CC(C4CC(CCC4(C)C3CCC12C)O)O,-3.82,"InChI=1/C24H40O4/c1-14(4-7-22(27)28)17-5-6-18-16-13-21(26)20-12-15(25)8-10-24(20,3)19(16)9-11-23(17,18)2/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/f/h27H"
340,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@H](C[C@H]1C[C@@H]3O)O,-4.29,"InChI=1/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,20+,22+,23+,24-/m1/s1/f/h27H"
341,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@H](C[C@H]1C[C@H]3O)O,-3.64,"InChI=1/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,20-,22+,23+,24-/m1/s1/f/h27H"
342,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@@H]([C@]12C)O)[C@@]1(C)CC[C@H](C[C@H]1C[C@H]3O)O,-4.35,"InChI=1/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1/f/h28H"
343,Cc1nnc2CN=C(c3ccccc3Cl)c3cc(ccc3n12)Cl,-4.08,"InChI=1/C17H12Cl2N4/c1-10-21-22-16-9-20-17(12-4-2-3-5-14(12)19)13-8-11(18)6-7-15(13)23(10)16/h2-8H,9H2,1H3"
344,C[C@H]1CNCCN1,0.74,"InChI=1/C5H12N2/c1-5-4-6-2-3-7-5/h5-7H,2-4H2,1H3/t5-/m0/s1"
345,CC(=Nc1ccc(cc1)Br)O,-3.08,"InChI=1/C8H8BrNO/c1-6(11)10-8-4-2-7(9)3-5-8/h2-5H,1H3,(H,10,11)"
346,CC(=Nc1ccc(cc1)N(=O)=O)O,-2.69,"InChI=1/C8H8N2O3/c1-6(11)9-7-2-4-8(5-3-7)10(12)13/h2-5H,1H3,(H,9,11)"
347,CN(C)C(=N[C@H]1C[C@H]2[C@H]3CC[C@H](C3)[C@H]2C1)O,-3.01,"InChI=1/C13H22N2O/c1-15(2)13(16)14-10-6-11-8-3-4-9(5-8)12(11)7-10/h8-12H,3-7H2,1-2H3,(H,14,16)/t8-,9+,10-,11-,12+"
348,C#C[C@@]1(CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@H]4[C@H]3CC[C@@]12C)O,-4.79,"InChI=1/C20H26O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,12,15-18,22H,4-11H2,2H3/t15-,16-,17-,18-,19-,20+/m1/s1"
349,c1cc(c(Cc2cc(ccc2O)Cl)cc1Cl)O,-3.95,"InChI=1/C13H10Cl2O2/c14-10-1-3-12(16)8(6-10)5-9-7-11(15)2-4-13(9)17/h1-4,6-7,16-17H,5H2"
350,c1c(cc(c(c1C(=O)O)Cl)N)Cl,-2.47,"InChI=1/C7H5Cl2NO2/c8-3-1-4(7(11)12)6(9)5(10)2-3/h1-2H,10H2,(H,11,12)/f/h11H"
351,C[C@@]1(c2cccc(c2C(=O)C2=C([C@]3([C@H](C[C@@H]12)[C@@H](C(=C(C3=O)C(=N)O)O)N(C)C)O)O)O)O,-3.12,"InChI=1/C22H24N2O8/c1-21(31)8-5-4-6-11(25)12(8)16(26)13-9(21)7-10-15(24(2)3)17(27)14(20(23)30)19(29)22(10,32)18(13)28/h4-6,9-10,15,25,27-28,31-32H,7H2,1-3H3,(H2,23,30)/t9-,10-,15+,21+,22+/m1/s1"
352,C[C@@]1(c2cccc(c2C(=O)C2=C([C@]3([C@@H]([C@@H](C(=C(C3=O)C(=N)O)O)N(C)C)[C@@H]([C@H]12)O)O)O)O)O,-3.14,"InChI=1/C22H24N2O9/c1-21(32)7-5-4-6-8(25)9(7)15(26)10-12(21)17(28)13-14(24(2)3)16(27)11(20(23)31)19(30)22(13,33)18(10)29/h4-6,12-14,17,25,27-29,32-33H,1-3H3,(H2,23,31)/t12-,13+,14+,17-,21+,22+/m1/s1"
353,CN(C)C(=O)C(c1ccccc1)c1ccccc1,-2.98,"InChI=1/C16H17NO/c1-17(2)16(18)15(13-9-5-3-6-10-13)14-11-7-4-8-12-14/h3-12,15H,1-2H3"
354,CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl,-4.88,"InChI=1/C10H16Cl3NOS/c1-6(2)14(7(3)4)10(15)16-5-8(11)9(12)13/h6-7H,5H2,1-4H3"
355,CCCCN(CC)C(=O)SCCC,-3.35,"InChI=1/C10H21NOS/c1-4-7-8-11(6-3)10(12)13-9-5-2/h4-9H2,1-3H3"
356,CCCCOC(=O)c1ccc(cc1)O,-2.72,"InChI=1/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3"
357,COC(=O)c1ccc(cc1)O,-1.78,"InChI=1/C8H8O3/c1-11-8(10)6-2-4-7(9)5-3-6/h2-5,9H,1H3"
358,CCOC(=O)CCC(=O)OCC,-0.96,"InChI=1/C8H14O4/c1-3-11-7(9)5-6-8(10)12-4-2/h3-6H2,1-2H3"
359,CCCCOC(=O)c1ccccc1,-3.48,"InChI=1/C11H14O2/c1-2-3-9-13-11(12)10-7-5-4-6-8-10/h4-8H,2-3,9H2,1H3"
360,COC(=O)c1ccc(cc1)N,-1.59,"InChI=1/C8H9NO2/c1-11-8(10)6-2-4-7(9)5-3-6/h2-5H,9H2,1H3"
361,CCCCCOC(=O)c1ccc(cc1)N,-3.26,"InChI=1/C12H17NO2/c1-2-3-4-9-15-12(14)10-5-7-11(13)8-6-10/h5-8H,2-4,9,13H2,1H3"
362,CCCCCCOC(=O)c1ccc(cc1)N,-3.95,"InChI=1/C13H19NO2/c1-2-3-4-5-10-16-13(15)11-6-8-12(14)9-7-11/h6-9H,2-5,10,14H2,1H3"
363,CCCCCCCCOC(=O)c1ccc(cc1)N,-5.4,"InChI=1/C15H23NO2/c1-2-3-4-5-6-7-12-18-15(17)13-8-10-14(16)11-9-13/h8-11H,2-7,12,16H2,1H3"
364,Cc1cccc(c1)N=C(C)O,-2.09,"InChI=1/C9H11NO/c1-7-4-3-5-9(6-7)10-8(2)11/h3-6H,1-2H3,(H,10,11)"
365,CC[C@H]1CCCCN1,-0.35,"InChI=1/C7H15N/c1-2-7-5-3-4-6-8-7/h7-8H,2-6H2,1H3/t7-/m0/s1"
366,CCCCOc1ccc(c(c1)N(CC)CC)C(=O)OCC,-3.84,"InChI=1/C17H27NO3/c1-5-9-12-21-14-10-11-15(17(19)20-8-4)16(13-14)18(6-2)7-3/h10-11,13H,5-9,12H2,1-4H3"
367,C=CCc1ccc(cc1)OC,-2.92,"InChI=1/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3,5-8H,1,4H2,2H3"
368,COc1c(c(c(c(c1O)Cl)Cl)Cl)Cl,-4.02,"InChI=1/C7H4Cl4O2/c1-13-7-5(11)3(9)2(8)4(10)6(7)12/h12H,1H3"
369,C=C(C)[C@@H]1CC=C(C)C(=O)C1,-2.06,"InChI=1/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9H,1,5-6H2,2-3H3/t9-/m1/s1"
370,C1(=O)C(=NC(=O)N=C1O)O,-1.25,"InChI=1/C4H2N2O4/c7-1-2(8)5-4(10)6-3(1)9/h(H2,5,6,8,9,10)"
371,c1cncnc1O,0.59,"InChI=1/C4H4N2O/c7-4-1-2-5-3-6-4/h1-3H,(H,5,6,7)"
372,C1CC(=O)N=C1O,0.3,"InChI=1/C4H5NO2/c6-3-1-2-4(7)5-3/h1-2H2,(H,5,6,7)"
373,C(CS(=O)CCCl)Cl,-1.16,InChI=1/C4H8Cl2OS/c5-1-3-8(7)4-2-6/h1-4H2
374,C([C@@H](C(=O)O)N)C(=N)O,-0.74,"InChI=1/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1"
375,CC[C@H](C(=O)O)N,0.31,"InChI=1/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m1/s1/f/h6H"
376,c1cc(cnc1)O,-0.46,"InChI=1/C5H5NO/c7-5-2-1-3-6-4-5/h1-4,7H"
377,c1c[nH]ccc1=O,1.02,"InChI=1/C5H5NO/c7-5-1-3-6-4-2-5/h1-4H,(H,6,7)"
378,c1nc2c(N)nc[nH]c2n1,-2.12,"InChI=1/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)"
379,CC1(C)C(=O)N(C(=O)N1Cl)Cl,-2.6,InChI=1/C5H6Cl2N2O2/c1-5(2)3(10)8(6)4(11)9(5)7/h1-2H3
380,Cc1cc(nc(n1)S)O,-2.43,"InChI=1/C5H6N2OS/c1-3-2-4(8)7-5(9)6-3/h2H,1H3,(H2,6,7,8,9)"
381,CC[C@@H]1C(=NC(=N1)O)O,-0.06,"InChI=1/C5H8N2O2/c1-2-3-4(8)7-5(9)6-3/h3H,2H2,1H3,(H2,6,7,8,9)/t3-/m1/s1"
382,CC(=O)/N=c\1/n(C)nc(s1)S(=O)(=O)N,-1.83,"InChI=1/C5H8N4O3S2/c1-3(10)7-4-9(2)8-5(13-4)14(6,11)12/h1-2H3,(H2,6,11,12)/b7-4-"
383,C[C@@H]1CCCC[C@@H]1NC(=Nc1ccccc1)O,-4.98,"InChI=1/C14H20N2O/c1-11-7-5-6-10-13(11)16-14(17)15-12-8-3-2-4-9-12/h2-4,8-9,11,13H,5-7,10H2,1H3,(H2,15,16,17)/t11-,13+/m1/s1"
384,c1cnc2c(cncn2)n1,0.02,InChI=1/C6H4N4/c1-2-9-6-5(8-1)3-7-4-10-6/h1-4H
385,CSc1ncc2c(nccn2)n1,-2.36,"InChI=1/C7H6N4S/c1-12-7-10-4-5-6(11-7)9-3-2-8-5/h2-4H,1H3"
386,c1cnc2c(c(ncn2)S)n1,-2.77,"InChI=1/C6H4N4S/c11-6-4-5(9-3-10-6)8-2-1-7-4/h1-3H,(H,8,9,10,11)"
387,Cn1c(=O)c2c([nH]c(n2)O)nc1O,-1.56,"InChI=1/C6H6N4O3/c1-10-4(11)2-3(9-6(10)13)8-5(12)7-2/h1H3,(H,9,13)(H2,7,8,12)"
388,c1ccc(cc1)S(=O)(=O)N,-1.56,"InChI=1/C6H7NO2S/c7-10(8,9)6-4-2-1-3-5-6/h1-5H,(H2,7,8,9)"
389,C1[C@H]([C@@H]2[C@@H]([C@H](CO2)ON(=O)=O)O1)ON(=O)=O,-2.63,"InChI=1/C6H8N2O8/c9-7(10)15-3-1-13-6-4(16-8(11)12)2-14-5(3)6/h3-6H,1-2H2/t3-,4+,5-,6-/m1/s1"
390,CN(C)C(=S)SSC(=S)N(C)C,-3.9,InChI=1/C6H12N2S4/c1-7(2)5(9)11-12-6(10)8(3)4/h1-4H3
391,[C@@H]1([C@@H]([C@@H]([C@H]([C@@H]([C@H]1O)O)O)O)O)O,0.35,"InChI=1/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4-,5+,6+/m0/s1"
392,CCCCCOC(=N)O,-1.47,"InChI=1/C6H13NO2/c1-2-3-4-5-9-6(7)8/h2-5H2,1H3,(H2,7,8)"
393,CC(C)(C)COC(=N)O,-0.8,"InChI=1/C6H13NO2/c1-6(2,3)4-9-5(7)8/h4H2,1-3H3,(H2,7,8)"
394,c1c(cc(c(c1Br)O)Br)C#N,-3.33,"InChI=1/C7H3Br2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H"
395,c1c(cc(c(c1C(=O)O)O)I)I,-3.31,"InChI=1/C7H4I2O3/c8-3-1-4(7(11)12)6(10)5(9)2-3/h1-2,10H,(H,11,12)/f/h11H"
396,Cc1c2c(nccn2)ncn1,-0.47,"InChI=1/C7H6N4/c1-5-6-7(11-4-10-5)9-3-2-8-6/h2-4H,1H3"
397,Cc1cnc2cncnc2n1,0.06,"InChI=1/C7H6N4/c1-5-2-9-6-3-8-4-10-7(6)11-5/h2-4H,1H3"
398,COc1ncc2c(nccn2)n1,-1.11,"InChI=1/C7H6N4O/c1-12-7-10-4-5-6(11-7)9-3-2-8-5/h2-4H,1H3"
399,COc1cnc2cncnc2n1,-0.91,"InChI=1/C7H6N4O/c1-12-6-3-9-5-2-8-4-10-7(5)11-6/h2-4H,1H3"
400,CSc1c2c(nccn2)ncn1,-2.36,"InChI=1/C7H6N4S/c1-12-7-5-6(10-4-11-7)9-3-2-8-5/h2-4H,1H3"
401,CSc1cnc2cncnc2n1,-1.55,"InChI=1/C7H6N4S/c1-12-6-3-9-5-2-8-4-10-7(5)11-6/h2-4H,1H3"
402,c1ccc(c(c1)C=O)O,-0.86,"InChI=1/C7H6O2/c8-5-6-3-1-2-4-7(6)9/h1-5,9H"
403,c1c(cc(c(c1O)O)O)C(=O)O,-1.16,"InChI=1/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)/f/h11H"
404,C[C@@H]1CCCC(=O)C1,-1.87,"InChI=1/C7H12O/c1-6-3-2-4-7(8)5-6/h6H,2-5H2,1H3/t6-/m1/s1"
405,CCCCCN=C(O)OC,-1.92,"InChI=1/C7H15NO2/c1-3-4-5-6-8-7(9)10-2/h3-6H2,1-2H3,(H,8,9)"
406,c1cc(ccc1C(=O)O)C(F)(F)F,-1.6,"InChI=1/C8H5F3O2/c9-8(10,11)6-3-1-5(2-4-6)7(12)13/h1-4H,(H,12,13)/f/h12H"
407,c1ccc(c(c1)Cl)OCC(=O)O,-2.16,"InChI=1/C8H7ClO3/c9-6-3-1-2-4-7(6)12-5-8(10)11/h1-4H,5H2,(H,10,11)/f/h10H"
408,CC(=O)OC1CCCCC1,-1.67,"InChI=1/C8H14O2/c1-7(9)10-8-5-3-2-4-6-8/h8H,2-6H2,1H3"
409,COc1cc(ccc1O)C(=O)O,-2.05,"InChI=1/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)/f/h10H"
410,CC(=O)c1ccc(cc1)N,-1.61,"InChI=1/C8H9NO/c1-6(10)7-2-4-8(9)5-3-7/h2-5H,9H2,1H3"
411,CNc1ccccc1C(=O)O,-2.88,"InChI=1/C8H9NO2/c1-9-7-5-3-2-4-6(7)8(10)11/h2-5,9H,1H3,(H,10,11)/f/h10H"
412,Cc1ccc(C)c(c1)O,-1.54,"InChI=1/C8H10O/c1-6-3-4-7(2)8(9)5-6/h3-5,9H,1-2H3"
413,Cc1cccc(C)c1O,-1.31,"InChI=1/C8H10O/c1-6-4-3-5-7(2)8(6)9/h3-5,9H,1-2H3"
414,Cc1ccc(cc1C)O,-1.41,"InChI=1/C8H10O/c1-6-3-4-8(9)5-7(6)2/h3-5,9H,1-2H3"
415,C1CC2C(C(C1O2)C(=O)O)C(=O)O,-0.27,"InChI=1/C8H10O5/c9-7(10)5-3-1-2-4(13-3)6(5)8(11)12/h3-6H,1-2H2,(H,9,10)(H,11,12)/f/h9,11H"
416,CCN(CC)C(=S)SCC(=C)Cl,-3.39,"InChI=1/C8H14ClNS2/c1-4-10(5-2)8(11)12-6-7(3)9/h3-6H2,1-2H3"
417,CC(C)CC(=O)CC(=O)C,-1.6,"InChI=1/C8H14O2/c1-6(2)4-8(10)5-7(3)9/h6H,4-5H2,1-3H3"
418,C[C@H]1CC[C@H](C)CC1,-4.47,"InChI=1/C8H16/c1-7-3-5-8(2)6-4-7/h7-8H,3-6H2,1-2H3/t7-,8-"
419,C[C@H]1CCCC[C@@H]1C,-4.27,"InChI=1/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3/t7-,8-/m0/s1"
420,CCCC1CCCC1,-4.74,"InChI=1/C8H16/c1-2-5-8-6-3-4-7-8/h8H,2-7H2,1H3"
421,CC(C(=O)O)Oc1ccc(cc1Cl)Cl,-2.45,"InChI=1/C9H8Cl2O3/c1-5(9(12)13)14-8-3-2-6(10)4-7(8)11/h2-5H,1H3,(H,12,13)/f/h12H"
422,CC(C(=O)O)Oc1ccccc1Cl,-2.22,"InChI=1/C9H9ClO3/c1-6(9(11)12)13-8-5-3-2-4-7(8)10/h2-6H,1H3,(H,11,12)/f/h11H"
423,Cc1cc(ccc1OCC(=O)O)Cl,-2.23,"InChI=1/C9H9ClO3/c1-6-4-7(10)2-3-8(6)13-5-9(11)12/h2-4H,5H2,1H3,(H,11,12)/f/h11H"
424,c1ccc(cc1)CCC(=O)O,-1.41,"InChI=1/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)/f/h10H"
425,COc1ccc(cc1)C(=O)OC,-2.41,"InChI=1/C9H10O3/c1-11-8-5-3-7(4-6-8)9(10)12-2/h3-6H,1-2H3"
426,Cc1cccc(c1)OC(=NC)O,-1.8,"InChI=1/C9H11NO2/c1-7-4-3-5-8(6-7)12-9(11)10-2/h3-6H,1-2H3,(H,10,11)"
427,c1cc(c(cc1C[C@@H](C(=O)O)N)O)O,-1.6,"InChI=1/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1/f/h13H"
428,CC(C)(C(=O)O)C(C)(CC(=O)O)C(=O)O,-0.29,"InChI=1/C9H14O6/c1-8(2,6(12)13)9(3,7(14)15)4-5(10)11/h4H2,1-3H3,(H,10,11)(H,12,13)(H,14,15)/f/h10,12,14H"
429,C(CCCC(=O)O)CCCC(=O)O,-1.89,"InChI=1/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)/f/h10,12H"
430,CCCCCCCCOC(=N)O,-3.3,"InChI=1/C9H19NO2/c1-2-3-4-5-6-7-8-12-9(10)11/h2-8H2,1H3,(H2,10,11)"
431,C1=C[C@H]2[C@@H](C1)[C@@]1(C(=C([C@]2(C1(Cl)Cl)Cl)Cl)Cl)Cl,-5.64,"InChI=1/C10H6Cl6/c11-6-7(12)9(14)5-3-1-2-4(5)8(6,13)10(9,15)16/h1-2,4-5H,3H2/t4-,5+,8+,9-/m0/s1"
432,c1ccc(cc1)n1c(=O)c(c(cn1)N)Br,-3.12,"InChI=1/C10H8BrN3O/c11-9-8(12)6-13-14(10(9)15)7-4-2-1-3-5-7/h1-6H,12H2"
433,c1cc(ccc1N)S(=O)(=O)N=c1cncc[nH]1,-3.7,"InChI=1/C10H10N4O2S/c11-8-1-3-9(4-2-8)17(15,16)14-10-7-12-5-6-13-10/h1-7H,11H2,(H,13,14)"
434,Cc1cc(ccc1O[C@H](C)C(=O)O)Cl,-2.55,"InChI=1/C10H11ClO3/c1-6-5-8(11)3-4-9(6)14-7(2)10(12)13/h3-5,7H,1-2H3,(H,12,13)/t7-/m1/s1/f/h12H"
435,C1CCc2cc(ccc2C1)O,-1.99,"InChI=1/C10H12O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h5-7,11H,1-4H2"
436,CCCN=C(NS(=O)(=O)c1ccc(cc1)Cl)O,-3.03,"InChI=1/C10H13ClN2O3S/c1-2-7-12-10(14)13-17(15,16)9-5-3-8(11)4-6-9/h3-6H,2,7H2,1H3,(H2,12,13,14)"
437,CC(C)c1ccc(C)c(c1)O,-2.08,"InChI=1/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3"
438,c1ccc(cc1)N(CCO)CCO,-0.73,"InChI=1/C10H15NO2/c12-8-6-11(7-9-13)10-4-2-1-3-5-10/h1-5,12-13H,6-9H2"
439,CC1(C)[C@@H]2CC[C@@](C)(C2)C1=O,-1.85,"InChI=1/C10H16O/c1-9(2)7-4-5-10(3,6-7)8(9)11/h7H,4-6H2,1-3H3/t7-,10+/m1/s1"
440,C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1,-2.18,"InChI=1/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h8-9H,1,4-6H2,2-3H3/t8-,9-/m1/s1"
441,Cc1ccc2ccc(C)nc2c1,-1.94,"InChI=1/C11H11N/c1-8-3-5-10-6-4-9(2)12-11(10)7-8/h3-7H,1-2H3"
442,Cc1ccnc(n1)NS(=O)(=O)c1ccc(cc1)N,-2.85,"InChI=1/C11H12N4O2S/c1-8-6-7-13-11(14-8)15-18(16,17)10-4-2-9(12)3-5-10/h2-7H,12H2,1H3,(H,13,14,15)"
443,Cc1c(C)oc(n1)NS(=O)(=O)c1ccc(cc1)N,-2.44,"InChI=1/C11H13N3O3S/c1-7-8(2)17-11(13-7)14-18(15,16)10-5-3-9(12)4-6-10/h3-6H,12H2,1-2H3,(H,13,14)"
444,CCSC(=O)N(CC(C)C)CC(C)C,-3.68,"InChI=1/C11H23NOS/c1-6-14-11(13)12(7-9(2)3)8-10(4)5/h9-10H,6-8H2,1-5H3"
445,c1cc(ccc1O)O.C1=CC(=O)C=CC1=O,-1.73,"InChI=1/C6H6O2.C6H4O2/c2*7-5-1-2-6(8)4-3-5/h1-4,7-8H;1-4H"
446,C#C[C@@H](C)N(C)C(=O)Nc1ccc(cc1)Cl,-3.9,"InChI=1/C12H13ClN2O/c1-4-9(2)15(3)12(16)14-11-7-5-10(13)6-8-11/h1,5-9H,2-3H3,(H,14,16)/t9-/m1/s1"
447,Cc1cc(nc(C)n1)NS(=O)(=O)c1ccc(cc1)N,-2.24,"InChI=1/C12H14N4O2S/c1-8-7-12(15-9(2)14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)"
448,CC(C)(C)c1nnc(NS(=O)(=O)C2=CC[C@@H](CC2)N)s1,-3.74,"InChI=1/C12H20N4O2S2/c1-12(2,3)10-14-15-11(19-10)16-20(17,18)9-6-4-8(13)5-7-9/h6,8H,4-5,7,13H2,1-3H3,(H,15,16)/t8-/m0/s1"
